Quantify Compound Summary Report 																							
																							
Printed Mon Jul 27 20:19:03 2020																							
																							
Compound 1:  13C-Caffeine																							
											Conc. In vial	Corr Factor	Calc. Amount	Spike level	Recovery								
	Name	Sample Text	RT	Area	1? Area			Ion ratio		Ion ratio check	ng/ml		ng/g (ppb)	ng/g	%								
1	TQS3_200724_003	mq H2O	3.22	11.793																			
2	TQS3_200724_004	Cal 0	3.26	796672.375																			
3	TQS3_200724_005	Cal 0.125	3.26	873853.313																			
4	TQS3_200724_006	Cal 0.25	3.26	779976.438																			
5	TQS3_200724_007	Cal 0.5	3.26	824327.688																			
6	TQS3_200724_008	Cal 1	3.26	852939.188																			
7	TQS3_200724_009	Cal 2.5	3.26	787827.688																			
8	TQS3_200724_010	Cal 5	3.26	759851.563																			
9	TQS3_200724_011	Cal 10	3.26	815000.188																			
10	TQS3_200724_012	Cal 25	3.26	869975.688																			
11	TQS3_200724_013	mq H2O	3.26	638.55																			
12	TQS3_200724_014	Std M1 5ng/mL	3.26	1167591.875																			
13	TQS3_200724_015	Blank chemical	3.26	802751.125																			
14	TQS3_200724_016	Blank soil	3.26	716748.75																			
15	TQS3_200724_017	Blank soil spiked	3.26	719640.688																			
16	TQS3_200724_018	1C	3.26	673194.5																			
17	TQS3_200724_019	1J	3.26	653080.5																			
18	TQS3_200724_020	2D	3.26	789387																			
19	TQS3_200724_021	2I	3.26	707516.875																			
20	TQS3_200724_022	3H	3.26	677000.375																			
21	TQS3_200724_023	3H_b	3.26	775343.438																			
22	TQS3_200724_024	4B	3.26	719741.125																			
23	TQS3_200724_025	Std M1 5ng/mL	3.26	845621.813																			
24	TQS3_200724_026	5J	3.26	713236.25																			
25	TQS3_200724_027	6B	3.26	696068.063																			
26	TQS3_200724_028	6D	3.26	684915.063																			
27	TQS3_200724_029	7E	3.26	678773.438																			
28	TQS3_200724_030	8B	3.26	653758.5																			
29	TQS3_200724_031	9J	3.26	713092																			
30	TQS3_200724_032	10D	3.26	672981.375																			
31	TQS3_200724_033	10G	3.26	777897.313																			
32	TQS3_200724_034	11F	3.26	689638																			
33	TQS3_200724_035	11F_spike	3.26	673558.375																			
34	TQS3_200724_036	Std M1 5ng/mL	3.26	766216.938																			
35	TQS3_200724_037	11H	3.26	728332.188																			
36	TQS3_200724_038	11J	3.26	689526.813																			
37	TQS3_200724_039	12G	3.26	698874.125																			
38	TQS3_200724_040	13F	3.26	711040.5																			
